company_name,country,firm_id
Ihh Healthcare Berhad,MY,3567702
Ytl Power International Berhad,MY,1663777
Igb Commercial Reit Capital Sdn. Bhd.,MY,16438987
Chin Teck Plantations Bhd,MY,1660636
Tiong Thye Company Sdn. Bhd.,MY,4197522
M & N Unic Sdn. Bhd.,MY,16416646
Innoprise Corporation Sdn. Bhd.,MY,4260658
Sonepar Malaysia Sdn. Bhd.,MY,4200820
Sin Siang Hin (M) Sdn Bhd.,MY,4182518
"Las Perlas Sur, S. De R.L.",PA,3949781
"3M Panama, S.A.",PA,3050596
Promerica Financial Corporation S.A.,PA,9925697
"Uep Penonome Ii, S.A.",PA,8345022
Brightstar Peru S.R.L.,PE,2025948
Cobriza Metals Peru S.A.C.,PE,2355997
Farmindustria S.A.,PE,2399377
Avanzit Peru S.A.C. in Liquidation,PE,2585365
Cetco S.A.,PE,2615511
Comsatel Peru S.A.C.,PE,1240153
Consorcio Naviero Peruano S.A.,PE,1240161
Bbva Asset Management Continental S.A.,PE,1240168
Depositos S.A.C.,PE,1240199
Nuevas Inversiones S.A.,PE,3939603
Electrica Cabo Blanco S.A.C.,PE,3939612
Erced S.A.C.,PE,3939613
Inversiones Portuarias S.A.,PE,3939620
Corporacion Pecsa S.A.,PE,3939623
Cumbres Andinas S.A.,PE,3939670
Cia. Minera Barbastro S.A.C.,PE,3939945
Minera Sillustani S.A.,PE,3939946
Parque El Golf S.A.C.,PE,3939948
"Fujihiro Philippines, Inc.",PH,1671827
Irma Fishing And Trading Inc.,PH,1672340
Multi Stores Corporation,PH,2117477
Platinum Group Metals Corporation,PH,2341491
Lunar Steel Corporation,PH,2624407
Household Dev. Corp.,PH,3294075
"B&M Global Services Manila, Inc.",PH,13784700
"E.F. Chua Construction, Inc.",PH,13787073
"B.M. Domingo Motor Sales, Inc.",PH,13788926
Boxtalks Inc.,PH,13792772
Sam Lim Corporation,PH,13797551
United Steel Master Mfg. Corp.,PH,13798819
Baek Geum Philippines Corp.,PH,13799257
"Golden Donuts, Inc.",PH,1671971
Splash Corporation,PH,1674676
Taiyo Yuden (Philippines) Inc.,PH,1674889
Citysuper Incorporated,PH,2618434
Comworks Inc.,PH,2618464
Prezero Malopolska Sp. z o.o.,PL,2011717
"Przedsiebiorstwo Handlowo - Uslugowe ""Mik"" Piosik sp. j.",PL,3373238
Enspirion Sp. z o.o.,PL,3719551
Climateo.Eu Sp. z o.o.,PL,3397094
Malis B.Machonski sp. k.,PL,4537712
Zdrojewscy Sp. z o.o. sp. k.,PL,3369574
Agricomm sp. j.,PL,3389509
Innowacyjna Platforma Handlu Sp. z o.o.,PL,4328657
Pw Wojciech Stanczak sp. k.,PL,13769878
"Cx80 Polska Agata Nadera, Dariusz Nadera sp. k.",PL,14023750
Kraft Global Logistics Sp. z o.o.,PL,13063052
Irma Tomasz Matoga sp. k.,PL,3379094
Avermann Polska Sp. z o.o.,PL,4132363
"Mymusic sp. k. Lupicki, Czysz",PL,14673963
Ters Sp. z o.o.,PL,16578486
Firma Budowlana Marek Antczak Sp. z o.o.,PL,14553933
"Hurtownia Lekow Weterynaryjnych ""Aga-Vet"" Piotr Kwiecinski & Agata Kwiecinska sp. j.",PL,7494787
"Kukje Plant Co., Ltd. (Sp. z o.o.) Oddzial W Polsce",PL,14093524
Fabryka Plastikow Kwidzyn Sp. z o.o.,PL,2006366
"""Sacar"" J.Cerna, Z.Cerny sp. j.",PL,3386764
Shoko Sp. z o.o.,PL,6952136
Karmina Sp. z o.o.,PL,4047698
Marketing I Konsultacje Farmaceutyczne Sp. z o.o.,PL,3377530
Slaskie Centrum Recyklingu Sp. z o.o.,PL,4421889
"""Firma Rozalczyk"" Sp. z o.o.",PL,3721154
Saatz Sp. z o.o.,PL,6967010
Namar Nawrocki sp. k.,PL,4338300
Mirrad Bieniek sp. j.,PL,12766569
Eutrader Andrzej Izert sp. k.,PL,13298866
Olesia Sp. z o.o.,PL,13770124
Nobilitat Sp. z o.o.,PL,3760061
Sherwin-Williams Balkan SRL,RO,3169265
Rotest SRL,RO,1493856
Grubhub Business Acceleration Technologies S.R.L.,RO,14666215
Agro Oil Service SRL,RO,2375159
Business Development Team SRL,RO,1472133
Jardine Cycle & Carriage Ltd,SG,1692224
Dbs Group Holdings Ltd,SG,1691061
Ripple Markets Apac Pte. Ltd.,SG,22250965
Bitmain Development Pte. Ltd.,SG,21683527
Fashion Choice Pte. Ltd.,SG,17388834
Jsw Steel Global Trade Pte. Ltd.,SG,16491654
Tolstar Investments Pte Ltd,SG,22251034
Zijin (Singapore) International Mining Pte. Ltd.,SG,22251510
Summer Bloom Investments (Ii) Pte. Ltd.,SG,22238441
General Atlantic Singapore Tt Pte. Ltd.,SG,22249634
Fusion Trade Pte. Ltd.,SG,7036119
Rui Chi Footwear Pte. Ltd.,SG,22241392
Hermine Wech-koroshka Perutnina D.o.o.,SI,8549778
Igepa Pako D.o.o.,SI,8545718
Clarios Slovakia Spol. S R.O.,SK,12958551
"T E M P O, Spol. S R.O.",SK,2334510
Mont Irp S.R.O.,SK,1545191
"Selyz - Nabytok, S.R.O.",SK,2441394
South City Development S.R.O.,SK,17435032
Bff Central Europe S.R.O.,SK,7477152
Betagro Pcl,TH,2115916
Thai Beverage Pcl,TH,2107053
Xtron Air-Conditioning Manufacture (Thailand) Company Limited,TH,13275032
Bjh Investment Company Limited,TH,7165374
M M Beverage Company Limited,TH,7120568
Zheng Tong International Freight Forwarding Company Limited,TH,16497340
Alexon Company Limited,TH,6709792
Kijjaroenchai Rungrueang Company Limited,TH,7176730
Phuchsuwan Rungrueang (Saraburi) Company Limited,TH,9323499
L. Lighting Glass Company Limited,TH,16494529
Gang Yan Diamond Tools (Thailand) Company Limited,TH,7134988
Tiangong Precision Tools (Thailand) Company Limited,TH,14622383
Shvydkyi Svit Tov,UA,8469958
Ercc Llc,UA,3589386
Zhtke Kp,UA,3589128
Stolychnyi Pekarnyi Dim Tov,UA,17440197
Movi Khels Tov,UA,4053286
Pivden Ahro Invest Tov,UA,9975374
Blok Treid Tov,UA,4052900
Treiding Prodakt Kompani TOV,UA,16982348
Floder S.A.,UY,6713115
Tran Bien Vn Production Trading Joint Stock Company.,VN,13183220
Huali Group Vietnam Company Limited,VN,17015631
Vietnam Heng Li New Materials Company Limited,VN,22210759
Nghia Tin Import - Export Company Limited,VN,22220638
"Ptm Automobile Service, Trading And Manufacturing Joint Stock Company",VN,2441492
Vietnam Hengxin New Material Technology Company Limited,VN,17016119
Suntone Technology Company Limited,VN,22205860
Cong Ty Tnhh Tap Oan Nguyen Quoc,VN,14052052
Hkb - Hoa Lu Paper Joint Stock Company,VN,22208957
Bbl Home New Materials Company Limited,VN,17034296
Apds Vietnam Limited,VN,13383223
Zn Asia Ltd.,VN,22215589
Co May Sa Dec Company Limited,VN,17009268
Cong Ty Tnhh Tap Oan Delta Thuy Si,VN,14829063
Sai Gon - Ha Tinh Beer One Member Company Limited,VN,9211127
"Dynaplast Packaging (Viet Nam) Co.,Ltd",VN,7383355
Ecopark Nomura Real Estate Joint Stock Company,VN,22211216
Vitalink Vietnam Company Limited,VN,14834587
Capitaland - Hien Duc Joint Stock Company,VN,14639616
Edgetel Viet Nam Company Limited,VN,17005985
Penta Ge.Co.Construction D.O.O.,YU,9037629
Hlm D.O.O.,YU,12957694
Auto Cacak Komerc D.O.O. Cacak,YU,2066732
Integrated Micro-Electronics D.O.O. Nis,YU,9981635
D Plus Proizvodnja I Distribucija D.O.O.,YU,3408484
Ino-Pharm D.O.O. Beograd,YU,2128272
Tridonic Srb D.O.O.,YU,10014161
Vorwerk Autotec Serbia D.O.O.,YU,12965280
Industrija Mesa Nedeljkovic D.O.O. Sasinci,YU,3407317
Soha Info D.O.O. Novi Banovci,YU,14810353
Obojeni Metali D.O.O. 2000 Bor,YU,6811165
Hypermax D.O.O. - U Likvidaciji,YU,21682136
Mm Trans Plus 2023 D.O.O.,YU,21674045
Webg D.O.O. Beograd,YU,9037413
